Year,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
2002,545.9200000000003,3115.08,3996.760000000001,1815.7399999999998,1204.1399999999994,1644.020000000001,795.9200000000001,540.24,112.61999999999999,79.52000000000002,22.200000000000003,171.70000000000016
2003,55.41000000000004,1242.2300000000007,2976.9399999999973,797.7199999999999,836.0099999999996,1026.1100000000004,1571.270000000001,468.59000000000026,24.930000000000003,98.33000000000001,267.40000000000015,99.19999999999999
2004,55.900000000000034,834.4000000000009,2311.719999999997,942.7500000000002,2019.2199999999987,399.51999999999964,339.17999999999995,251.6400000000001,72.37999999999998,55.569999999999986,116.74000000000007,97.48000000000002
2006,347.2199999999998,908.4399999999991,2981.1600000000017,1793.970000000001,995.2699999999998,2031.1899999999987,1602.5499999999997,287.2099999999997,102.43999999999994,90.31000000000002,18.749999999999986,33.75999999999999
2005,1449.23,619.7699999999999,1789.9299999999998,1777.230000000001,1055.4099999999996,1472.9099999999999,743.1100000000002,1113.26,309.1899999999997,46.60999999999999,86.51000000000002,93.98
2007,178.80999999999992,942.89,1279.3300000000002,320.65999999999957,1615.4699999999984,317.77000000000015,519.8500000000001,150.15000000000006,85.31999999999998,102.60000000000007,62.74,164.02
2008,612.92,329.63999999999965,1189.429999999999,2153.1699999999987,1007.5700000000004,316.55,153.52999999999997,255.8,42.449999999999996,41.729999999999976,36.830000000000005,12.589999999999998
2009,272.2700000000001,777.8099999999996,1102.8700000000006,533.6399999999993,1479.8000000000002,881.3000000000002,297.80000000000007,580.2799999999993,320.83999999999986,35.949999999999996,53.25,42.98999999999998
2010,722.6100000000002,379.3599999999999,1029.0300000000004,1780.539999999999,1136.9299999999998,814.8299999999997,1225.520000000001,487.74999999999994,146.89999999999998,38.04999999999998,46.77,88.72000000000004
2011,1059.68,1016.8099999999998,2555.510000000002,463.27000000000004,1059.9400000000003,2173.8400000000006,465.79999999999995,552.3600000000004,350.0399999999999,84.5100000000001,21.589999999999996,76.77000000000004
2020,56.20999999999998,311.24,1202.38,578.5300000000001,70.34000000000005,789.1399999999999,509.4999999999996,375.75999999999993,70.85999999999999,17.71,25.990000000000006,21.650000000000006
2012,527.6700000000002,523.5299999999997,156.68999999999994,1066.2099999999996,421.7499999999997,1643.4599999999994,828.5100000000001,115.19,164.73000000000008,98.85000000000005,92.69999999999999,45.65
2014,119.18000000000005,281.26000000000016,178.5400000000002,233.12000000000012,1314.0799999999995,978.5199999999995,376.71,179.58999999999995,42.209999999999994,96.86000000000004,163.16999999999996,244.05000000000004
2013,376.6499999999998,1131.1499999999999,1759.84,338.4,189.1199999999999,391.5100000000002,259.36999999999995,254.56000000000012,142.21999999999997,72.62999999999998,96.91000000000005,343.6899999999995
2015,342.81000000000006,551.5999999999997,1654.3800000000022,149.87000000000012,860.7199999999995,243.2600000000001,343.52999999999986,338.5000000000001,109.06999999999994,201.23000000000005,49.519999999999996,84.9400000000001
2016,305.10999999999996,635.79,1530.0899999999995,1754.7400000000002,367.08000000000004,1395.3700000000006,427.63999999999976,245.76999999999995,110.11000000000003,37.559999999999995,28.189999999999998,52.88000000000001
2017,1175.3399999999992,581.6700000000004,1155.1899999999982,2628.170000000002,2110.1499999999987,751.9000000000001,825.07,153.1399999999999,118.32000000000004,53.719999999999985,72.88,156.63
2018,130.64000000000004,967.2299999999999,118.69000000000018,847.2099999999995,201.54000000000002,1540.9799999999998,578.4199999999996,201.3300000000001,43.34999999999999,68.03,22.839999999999996,14.059999999999993
2019,199.39000000000001,754.0700000000002,585.1400000000003,1282.06,2261.9400000000005,1090.67,442.48000000000025,743.0100000000007,48.860000000000014,25.14000000000001,48.339999999999975,208.95000000000002
